🇨🇳｜央视频道,#genre#
CCTV1,http://113.74.172.130:4000/udp/239.77.0.129:5146
CCTV1,http://113.74.172.130:4000/udp/239.77.1.17:5146
CCTV1,http://113.74.172.130:4000/udp/239.77.1.144:5146
CCTV1,http://113.74.172.130:4000/udp/239.77.0.86:5146
CCTV2,http://113.74.172.130:4000/udp/239.77.1.158:5146
CCTV2,http://113.74.172.130:4000/udp/239.253.43.17:5146
CCTV2,http://113.74.172.130:4000/udp/239.77.0.137:5146
CCTV3,http://113.74.172.130:4000/udp/239.77.0.169:5146
CCTV3,http://113.74.172.130:4000/udp/239.77.0.175:5146
CCTV4,http://113.74.172.130:4000/udp/239.77.1.163:5146
CCTV4,http://113.74.172.130:4000/udp/239.77.1.166:5146
CCTV4,http://113.74.172.130:4000/udp/239.77.0.78:5146
CCTV5,http://113.74.172.130:4000/udp/239.77.0.170:5146
CCTV5,http://113.74.172.130:4000/udp/239.77.0.177:5146
CCTV5+,http://113.74.172.130:4000/udp/239.77.0.87:5146
CCTV5+,http://113.74.172.130:4000/udp/239.77.1.31:5146
CCTV5+,http://113.74.172.130:4000/udp/239.77.1.147:5146
CCTV6,http://113.74.172.130:4000/udp/239.77.0.171:5146
CCTV6,http://113.74.172.130:4000/udp/239.77.0.178:5146
CCTV7,http://113.74.172.130:4000/udp/239.77.1.159:5146
CCTV7,http://113.74.172.130:4000/udp/239.77.1.167:5146
CCTV7,http://113.74.172.130:4000/udp/239.77.0.138:5146
CCTV8,http://113.74.172.130:4000/udp/239.77.0.172:5146
CCTV8,http://113.74.172.130:4000/udp/239.77.0.181:5146
CCTV9,http://113.74.172.130:4000/udp/239.77.1.160:5146
CCTV9,http://113.74.172.130:4000/udp/239.77.1.168:5146
CCTV9,http://113.74.172.130:4000/udp/239.77.0.135:5146
CCTV10,http://113.74.172.130:4000/udp/239.77.1.113:5146
CCTV10,http://113.74.172.130:4000/udp/239.77.1.169:5146
CCTV10,http://113.74.172.130:4000/udp/239.77.0.134:5146
CCTV11,http://113.74.172.130:4000/udp/239.77.1.238:5146
CCTV12,http://113.74.172.130:4000/udp/239.77.1.109:5146
CCTV12,http://113.74.172.130:4000/udp/239.77.1.170:5146
CCTV12,http://113.74.172.130:4000/udp/239.77.0.136:5146
CCTV13,http://113.74.172.130:4000/udp/239.77.0.188:5146
CCTV13,http://113.74.172.130:4000/udp/239.253.43.196:5146
CCTV14,http://113.74.172.130:4000/udp/239.77.1.161:5146
CCTV14,http://113.74.172.130:4000/udp/239.77.1.171:5146
CCTV14,http://113.74.172.130:4000/udp/239.77.0.133:5146
CCTV15,http://113.74.172.130:4000/udp/239.77.1.239:5146
CCTV16,http://113.74.172.130:4000/udp/239.77.0.165:5146
CCTV16,http://113.74.172.130:4000/udp/239.77.1.76:5146
CCTV16,http://113.74.172.130:4000/udp/239.77.1.98:5146
CCTV17,http://113.74.172.130:4000/udp/239.77.1.121:5146
CCTV4K,http://113.74.172.130:4000/udp/239.77.0.194:5146
CCTV4K,http://113.74.172.130:4000/udp/239.77.0.174:5146
CGTN英语,http://113.74.172.130:4000/udp/239.77.0.45:5146
CGTN英语,http://113.74.172.130:4000/udp/239.77.1.27:5146
CGTN英语,http://113.74.172.130:4000/udp/239.77.0.199:5146
CGTN西班牙语,http://113.74.172.130:4000/udp/239.77.0.221:5146
CGTN法语,http://113.74.172.130:4000/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.74.172.130:4000/udp/239.253.43.200:5146
CGTN俄语,http://113.74.172.130:4000/udp/239.253.43.201:5146


CCTV1,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=1 
CCTV2,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=2 
CCTV3,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=3 
CCTV4,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=4 
CCTV5,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=5 
CCTV6,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=6 
CCTV7,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=7
CCTV8,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=8 
CCTV9,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=9 
CCTV10,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=10 
CCTV11,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=11 
CCTV12,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=12 
CCTV13,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=13 
CCTV14,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=14 
CCTV15,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=15 
CCTV16,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=16 
CCTV17,http://mywlkj.ddns.net:754/tv/gdgzdx.php?id=17



CCTV1,http://113.93.51.56:9999/udp/239.77.0.129:5146
CCTV1,http://113.93.51.56:9999/udp/239.77.1.17:5146
CCTV1,http://113.93.51.56:9999/udp/239.77.1.144:5146
CCTV1,http://113.93.51.56:9999/udp/239.77.0.86:5146
CCTV2,http://113.93.51.56:9999/udp/239.77.1.158:5146
CCTV2,http://113.93.51.56:9999/udp/239.253.43.17:5146
CCTV2,http://113.93.51.56:9999/udp/239.77.0.137:5146
CCTV3,http://113.93.51.56:9999/udp/239.77.0.169:5146
CCTV3,http://113.93.51.56:9999/udp/239.77.0.175:5146
CCTV4,http://113.93.51.56:9999/udp/239.77.1.163:5146
CCTV4,http://113.93.51.56:9999/udp/239.77.1.166:5146
CCTV4,http://113.93.51.56:9999/udp/239.77.0.78:5146
CCTV5,http://113.93.51.56:9999/udp/239.77.0.170:5146
CCTV5,http://113.93.51.56:9999/udp/239.77.0.177:5146
CCTV5+,http://113.93.51.56:9999/udp/239.77.0.87:5146
CCTV5+,http://113.93.51.56:9999/udp/239.77.1.31:5146
CCTV5+,http://113.93.51.56:9999/udp/239.77.1.147:5146
CCTV6,http://113.93.51.56:9999/udp/239.77.0.171:5146
CCTV6,http://113.93.51.56:9999/udp/239.77.0.178:5146
CCTV7,http://113.93.51.56:9999/udp/239.77.1.159:5146
CCTV7,http://113.93.51.56:9999/udp/239.77.1.167:5146
CCTV7,http://113.93.51.56:9999/udp/239.77.0.138:5146
CCTV8,http://113.93.51.56:9999/udp/239.77.0.172:5146
CCTV8,http://113.93.51.56:9999/udp/239.77.0.181:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.1.160:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.1.168:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.0.135:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.1.113:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.1.169:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.0.134:5146
CCTV11,http://113.93.51.56:9999/udp/239.77.1.238:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.1.109:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.1.170:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.0.136:5146
CCTV13,http://113.93.51.56:9999/udp/239.77.0.188:5146
CCTV13,http://113.93.51.56:9999/udp/239.253.43.196:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.1.161:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.1.171:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.0.133:5146
CCTV15,http://113.93.51.56:9999/udp/239.77.1.239:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.0.165:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.1.76:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.1.98:5146
CCTV17,http://113.93.51.56:9999/udp/239.77.1.121:5146
CCTV4K,http://113.93.51.56:9999/udp/239.77.0.194:5146
CCTV4K,http://113.93.51.56:9999/udp/239.77.0.174:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.0.45:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.1.27:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.0.199:5146
CGTN西班牙语,http://113.93.51.56:9999/udp/239.77.0.221:5146
CGTN法语,http://113.93.51.56:9999/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.93.51.56:9999/udp/239.253.43.200:5146
CGTN俄语,http://113.93.51.56:9999/udp/239.253.43.201:5146

